Line_Item,Apr,May,Jun,Jul,Aug,Sep,Country,Line_Order,,
L1 Labor,"4,627.75","3,546.04","2,137.47","1,603.10",113.94,79.76,GB,L1-14-01,,
L1 Labor,"4,339.21","3,888.87","2,672.61","2,004.46","3,326.78","2,328.75",CA,L1-14-01,,
L1 Labor,"8,678.42","7,777.75","5,345.22","4,008.92","3,326.78","2,328.75",US,L1-14-01,,
L3 Labor,301.87,322.79,194.57,145.93,"1,326.94",928.86,GB,L3-03-02,,
L3 Labor,"1,433.15","1,177.52",544.66,408.50,"3,624.91","2,537.44",CA,L3-03-02,,
L3 Labor,"2,866.30","2,355.04","1,089.32",816.99,"3,624.91","2,537.44",US,L3-03-02,,
L3 Labor,0.00,0.00,0.00,44.03,44.03,44.03,AE,L3-03-02,,
"L4,5 People","10,356.78","6,151.12","3,707.76","2,780.82","5,221.28","3,654.90",GB,L4-01-01,,
"L4,5 People","8,460.93","11,106.68","8,033.83","6,025.37","3,897.45","2,728.22",AE,L4-01-01,,
"L4,5 People","11,772.21","10,102.07","7,307.16","5,480.37","5,026.67","3,518.67",US,L4-01-01,,
"L4,5 People","5,886.10","5,051.03","3,653.58","2,740.19","5,026.67","3,518.67",CA,L4-01-01,,
L6 People,"20,958.99","23,304.37","16,856.83","12,642.62","24,543.65","17,180.56",Global,L6-02-01,,
L3 Labor,650.17,"1,164.78",0.00,0.00,0.00,0.00,US,L3-02-02,,
L3 Labor,325.09,582.39,0.00,0.00,0.00,0.00,CA,L3-02-02,,
L3 Labor,890.52,207.93,0.00,0.00,0.00,0.00,GB,L3-02-02,,
L3 Labor,44.04,45.66,0.00,0.00,0.00,0.00,AE,L3-02-02,,
